event.day,event.month,n,july4,date
1,Apr,279,0,2016-04-01
1,Aug,392,0,2016-08-01
1,Dec,315,0,2016-12-01
1,Feb,256,0,2016-02-01
1,Jan,706,0,2016-01-01
1,Jul,369,0,2016-07-01
1,Jun,458,0,2016-06-01
1,Mar,258,0,2016-03-01
1,May,287,0,2016-05-01
1,Nov,385,0,2016-11-01
1,Oct,476,0,2016-10-01
1,Sep,467,0,2016-09-01
2,Apr,188,0,2016-04-02
2,Aug,288,0,2016-08-02
2,Dec,193,0,2016-12-02
2,Feb,215,0,2016-02-02
2,Jan,208,0,2016-01-02
2,Jul,261,0,2016-07-02
2,Jun,200,0,2016-06-02
2,Mar,186,0,2016-03-02
2,May,166,0,2016-05-02
2,Nov,256,0,2016-11-02
2,Oct,239,0,2016-10-02
2,Sep,299,0,2016-09-02
3,Apr,170,0,2016-04-03
3,Aug,305,0,2016-08-03
3,Dec,238,0,2016-12-03
3,Feb,166,0,2016-02-03
3,Jan,217,0,2016-01-03
3,Jul,478,0,2016-07-03
3,Jun,213,0,2016-06-03
3,Mar,177,0,2016-03-03
3,May,205,0,2016-05-03
3,Nov,300,0,2016-11-03
3,Oct,267,0,2016-10-03
3,Sep,292,0,2016-09-03
4,Apr,174,0,2016-04-04
4,Aug,290,0,2016-08-04
4,Dec,195,0,2016-12-04
4,Feb,192,0,2016-02-04
4,Jan,209,0,2016-01-04
4,Jul,1816,1,2016-07-04
4,Jun,190,0,2016-06-04
4,Mar,161,0,2016-03-04
4,May,180,0,2016-05-04
4,Nov,252,0,2016-11-04
4,Oct,279,0,2016-10-04
4,Sep,277,0,2016-09-04
5,Apr,218,0,2016-04-05
5,Aug,285,0,2016-08-05
5,Dec,205,0,2016-12-05
5,Feb,200,0,2016-02-05
5,Jan,195,0,2016-01-05
5,Jul,410,0,2016-07-05
5,Jun,235,0,2016-06-05
5,Mar,194,0,2016-03-05
5,May,236,0,2016-05-05
5,Nov,285,0,2016-11-05
5,Oct,280,0,2016-10-05
5,Sep,278,0,2016-09-05
6,Apr,176,0,2016-04-06
6,Aug,290,0,2016-08-06
6,Dec,196,0,2016-12-06
6,Feb,225,0,2016-02-06
6,Jan,205,0,2016-01-06
6,Jul,328,0,2016-07-06
6,Jun,280,0,2016-06-06
6,Mar,190,0,2016-03-06
6,May,198,0,2016-05-06
6,Nov,246,0,2016-11-06
6,Oct,256,0,2016-10-06
6,Sep,276,0,2016-09-06
7,Apr,184,0,2016-04-07
7,Aug,298,0,2016-08-07
7,Dec,210,0,2016-12-07
7,Feb,158,0,2016-02-07
7,Jan,204,0,2016-01-07
7,Jul,355,0,2016-07-07
7,Jun,245,0,2016-06-07
7,Mar,217,0,2016-03-07
7,May,181,0,2016-05-07
7,Nov,546,0,2016-11-07
7,Oct,253,0,2016-10-07
7,Sep,269,0,2016-09-07
8,Apr,179,0,2016-04-08
8,Aug,315,0,2016-08-08
8,Dec,186,0,2016-12-08
8,Feb,212,0,2016-02-08
8,Jan,219,0,2016-01-08
8,Jul,248,0,2016-07-08
8,Jun,235,0,2016-06-08
8,Mar,192,0,2016-03-08
8,May,203,0,2016-05-08
8,Nov,342,0,2016-11-08
8,Oct,309,0,2016-10-08
8,Sep,288,0,2016-09-08
9,Apr,217,0,2016-04-09
9,Aug,248,0,2016-08-09
9,Dec,224,0,2016-12-09
9,Feb,172,0,2016-02-09
9,Jan,170,0,2016-01-09
9,Jul,282,0,2016-07-09
9,Jun,226,0,2016-06-09
9,Mar,211,0,2016-03-09
9,May,167,0,2016-05-09
9,Nov,259,0,2016-11-09
9,Oct,283,0,2016-10-09
9,Sep,280,0,2016-09-09
10,Apr,217,0,2016-04-10
10,Aug,330,0,2016-08-10
10,Dec,268,0,2016-12-10
10,Feb,193,0,2016-02-10
10,Jan,219,0,2016-01-10
10,Jul,312,0,2016-07-10
10,Jun,263,0,2016-06-10
10,Mar,221,0,2016-03-10
10,May,225,0,2016-05-10
10,Nov,305,0,2016-11-10
10,Oct,318,0,2016-10-10
10,Sep,304,0,2016-09-10
11,Apr,198,0,2016-04-11
11,Aug,351,0,2016-08-11
11,Dec,195,0,2016-12-11
11,Feb,203,0,2016-02-11
11,Jan,224,0,2016-01-11
11,Jul,293,0,2016-07-11
11,Jun,207,0,2016-06-11
11,Mar,222,0,2016-03-11
11,May,189,0,2016-05-11
11,Nov,261,0,2016-11-11
11,Oct,259,0,2016-10-11
11,Sep,332,0,2016-09-11
12,Apr,228,0,2016-04-12
12,Aug,446,0,2016-08-12
